Issue Type,Summary,Issue ID,Epic Name,Epic Link,Story Points,Sprint,Depends On,Assignee Role,Description,Acceptance Criteria
Epic,"E1 Core Physics and Input",E1,"E1 Core Physics and Input",,,"Sprint 1",,Tech Lead,"Physics foundation and input abstraction for Switch/PC/mobile.","Core hit/flip input and physics are stable in prototype scene"
Epic,"E2 Rules Scoring and Turn Resolution",E2,"E2 Rules Scoring and Turn Resolution",,,"Sprint 1-2",,Tech Lead,"Implements authentic rules including outs scoring innings and tie-break.","All rules pass functional test matrix"
Epic,"E3 AI and Field Simulation",E3,"E3 AI and Field Simulation",,,"Sprint 2-3",,Gameplay Engineer,"Fielding and batting AI with terrain and wind interactions.","AI tiers behave distinctly and complete legal turns"
Story,"E1-1 Create GilliController with Rigidbody torque Magnus effect",E1-1,,E1,8,"Sprint 1",,Tech Lead,"Implement gilli flight model with aerodynamic force and torque handling.","Flip and hit produce believable spin curve wobble"
Story,"E1-2 Implement tapered collider and material tuning",E1-2,,E1,5,"Sprint 1",E1-1,Tech Artist,"Tune collider and material coefficients for realistic drag/lift and bounce.","Distance distribution matches target benchmark ranges"
Story,"E1-3 Switch Joy-Con shake detection for flip gesture",E1-3,,E1,5,"Sprint 1",,Gameplay Engineer,"Detect intentional flip shake while filtering idle/controller noise.","False positive rate below 2% in calibration suite"
Story,"E1-4 Swing arc detection from gyro accel",E1-4,,E1,8,"Sprint 1",E1-3,Gameplay Engineer,"Derive swing direction power and timing from motion data.","Power/timing curve maps correctly to telemetry buckets"
Story,"E1-5 Standard controls stick aim A flip RB swing RT charge",E1-5,,E1,3,"Sprint 1",,Gameplay Engineer,"Add controller fallback control scheme for non-motion play.","All inputs remappable and usable in match"
Story,"E1-6 Input abstraction layer Switch PC Mobile",E1-6,,E1,5,"Sprint 2","E1-3|E1-5",Tech Lead,"Abstract input devices behind common gameplay interface.","Platform swap requires no gameplay code changes"
Story,"E2-1 Batting turn state machine",E2-1,,E2,8,"Sprint 1",E1-1,Tech Lead,"Implement place/flip/strike/resolve state transitions.","No dead states across 100 simulated turns"
Story,"E2-2 Enforce max 3 flip failures out",E2-2,,E2,2,"Sprint 1",E2-1,Gameplay Engineer,"Track flip attempts and trigger out on third fail.","Out triggers exactly at attempt three"
Story,"E2-3 Air catch out logic with timestamp validation",E2-3,,E2,3,"Sprint 1",E2-1,Gameplay Engineer,"Resolve catch events against landing timestamps.","Catch precedence validated in edge-case tests"
Story,"E2-4 Fielder danda-hit out condition",E2-4,,E2,3,"Sprint 2",E2-1,Gameplay Engineer,"Detect valid fielder throw that hits grounded danda.","Out only triggers under legal grounded condition"
Story,"E2-5 Score measure service distance formula",E2-5,,E2,3,"Sprint 1",E2-1,Tech Lead,"Measure first landing distance and convert using danda length.","Runs equal floor(distance/dandaLength)"
Story,"E2-6 Double-runs logic for 2+ mid-air hits",E2-6,,E2,3,"Sprint 2",E2-5,Gameplay Engineer,"Apply multiplier when rally has two or more legal strikes.","Multiplier never applies on outs"
Story,"E2-7 Two-innings match manager and tie sudden death",E2-7,,E2,5,"Sprint 2","E2-3|E2-5",Tech Lead,"Manage innings swaps winner resolution and sudden death.","Tie always enters strike-off and resolves winner"
Story,"E3-1 Fielder interception prediction spline",E3-1,,E3,8,"Sprint 2",E1-1,Gameplay Engineer,"Predict landing and pathing for fielder pursuit.","Fielders reach catchable balls in expected windows"
Story,"E3-2 Catch probability model speed wind sun",E3-2,,E3,5,"Sprint 2",E3-1,Tech Lead,"Compute catch success odds with movement and environment penalties.","Catch rates match tuning table per difficulty"
Story,"E3-3 Difficulty tiers Easy Club District Pro",E3-3,,E3,5,"Sprint 3","E3-1|E3-2",Gameplay Engineer,"Expose AI profiles with escalating timing and positioning quality.","Difficulty progression shows measurable win-rate separation"
